predicted : tensor([0.6811], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([257551.0938], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1507580.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2839.0259], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3565369.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.5503e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1450813.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4680655.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([10178.8350], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3996.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2217.5679], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.7978e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([41198.1953], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([7560251.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([16951.4570], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([10691.3535], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.9880e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([95546.5625], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([15984.2393], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([64677448.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([119084.7656], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([31722.5820], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3099094.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1983886.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([30027326.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([41752200.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([40068.0312], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1864515.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4.1609e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1372330.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([86396424.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([15194266.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([44862.1211], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([10088788.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3748971.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([30290.7402], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([14825.8643], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1973250.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([816193.6875], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([7760210.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([81628960.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2.1771e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13010.2158], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2486644.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([17286.9961], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2.6451e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6331721.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4903099.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([115815.0625], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([66773044.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([88331672.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2171284.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([218554.8750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1508472.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([79824168.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3053269.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2496758.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([5875397.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4398304.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([20188.5312], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13459348.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3827173.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1177788.6250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([29721396.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([86591392.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([44628220.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([97661.5625], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1948770.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([8240.3613], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([18055.0801], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([9534755.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([180334.6562], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([23029.1035], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([16374339.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([188646.6406], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([70743.0469], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([12063.3281], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.1104e+10], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([149948.2656], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([77490.3984], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([27010188.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([22525.7246], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3150698.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([414533.3125], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([53265.3438], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.4313e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([57425052.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([15159140.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4631.7388], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1612747.1250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([24366.2852], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([20012.1328], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([23050.4023], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([7.2418e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([21834286.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([25281062.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([10297.1777], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([12526.1855], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2.8470e+21], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([24410.1191], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11383063.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([28083026.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1115855.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([16370.9414], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([88030.3672], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([47573.1562], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([311749.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([713819.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([27157.6250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2237214.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([137289.2969], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([53675124.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1929815.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2162327.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13304.0938], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([9433002.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([30281.6953], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([295109.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([332079.5625], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4.7716e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2595119.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([66399460.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([12506369.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([753115.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([41019.6367], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1139249.1250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([34090.6836], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([52855440.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([103520.4375], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1453345.1250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([16634371.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([24458248.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([29154.0430], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([142600.2969], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([47942.0391], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6.1293e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([20503168.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([136875.5312], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([47840.4492], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6886127.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11954511.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.0746e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([48546.7422], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([9735954.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([5.3025e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3920133.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([36800368.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([227914.7031], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([786316.6250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([10403489.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2391013.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([348966.1250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([324161.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([956534.1875], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([593205.6250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([16220097.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([881281.4375], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6.3460e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11357820.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([30453.9102], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11135972.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([593683.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6723165.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2123702.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([54178696.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2055873.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2605340.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([44623.2227], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11462.6787], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([7475653.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([23001.0293], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([667891.], grad_fn=<PowBackward2>), answer: 1.0
predicted : tensor([271522.5625], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([964028.4375], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([97264880.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([307539.0312], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([22253.9863], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([53792.8828], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([14491847.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2.9498e+09], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([641879.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([929127.4375], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([206121.6562], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([113511.2578], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3413113.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([12941461.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4371646.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([183060.7188], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1828821.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([103020.7422], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([17204042.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([8228630.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([141104.9844], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6202159.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13585.6963], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([465826.1562], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([48586.3633], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.7489e+24], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([8.8758e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3385579.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([107476.9453], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([36500936.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.5929e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([171467.3438], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([26473828.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([27605414.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4912055.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([32847.6133], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1673248.1250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1529507.8750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([476160.5938], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6013748.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.6880e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([17315870.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([80485624.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([78256920.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13025238.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([9014779.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([23800520.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([469769.1875], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1861802.8750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([177276.6406], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1525807.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2033390.8750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4.6921e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([582927.4375], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11134358.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([210932.2188], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1828937.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([33883.3906], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([35859524.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1465640.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([249834.8906], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4.8648e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([12945980.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([7929142.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([872219.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([22891384.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1975270.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1991549.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([60207908.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([874483.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([38655.1445], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([28806646.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([489003.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([8897439.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4233108.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([14438.9912], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.5444e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([27743.3027], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2715914.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([22244.7520], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13237026.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1122677.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([15944.3799], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4544.6084], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([5403784.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([5527.5234], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11951.2041], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4119249.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1047647.1250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([336278.0938], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([41349280.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([975306.1875], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1677526.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([18740220.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([842283.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([173022.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3843849.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([25600442.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([158342.9688], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([414395.8750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([170838.1875], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([21361.4082], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([307216.4062], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([37165.4102], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([48508.1680], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([173656.3906], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([278320.8438], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2031632.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([204858.6406], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1564515.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2331683.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([308074.7188], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([26767.0137], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([35377.4141], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1763177.1250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([80325.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1267315.6250], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([17711.1660], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([8802225.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([37543.4297], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([67659.6016], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([16498064.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([35570.8359], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6420284.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([83754.0938], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([5522055.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([7624840.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([69015.0703], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([697439.9375], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([95530.9375], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([334322.1562], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1406228.8750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([7100575.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([59325.8398], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4980749.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([12181907.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([528562.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([352078.0625], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([48050864.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([21052016.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([186914.5781], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([42229700.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([404976.6562], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([717639.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([138542.6406], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2300289.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([11225057.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([107510.3516], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([24287730.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([50209524.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6696386.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([452641.2188], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([207354.6719], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3195326.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([387095.5312], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([10536029.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1781832.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3608061.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([158080.8438], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1277257.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.0781e+08], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([887732.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([337931.0938], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1099789.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1.8753e+09], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([549711.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3539808.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1185867.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2355272.7500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([36504.3828], grad_fn=<PowBackward2>), answer: 10.0
